F,Titulo,Gênero,Classificacao,Plataforma,Duracao media dos Episodios,Quant. Temporadas,Episódios por temporada
1,Mandarorian,Western Espacial,14,Disney Plus,42,3,8 8 8
2,The Witcher,Drama,18,Netflix,55,2,8 8
3,Peaky Blinders,Drama,16,Netflix,56,6,6 6 6 6 6 6
4,Sandman,Fantasia,18,Netflix,48,1,11
5,House of The Dragon,Drama,16,HBO Max,60,1,10
6,Succession,Humor acido,16,HBO Max,60,4,10 10 9 7
7,The Last Of Us,Drama,16,HBO Max,57,1,9
8,Aneis de Poder,Fantasia,14,Prime Video,68,1,8
9,Mr.Robot,Suspense,16,Prime Video,49,4,10 12 10 13
10,Perifericos,Ficcao Cientifica,14,Prime Video,56,1,8
11,Obi-Wan Kenobi,Ficcao Cientifica,14,Disney Plus,52,1,6
12,Grey's Anatomy,Drama medico,14,Star Plus,43,19,9 27 25 17 24 24 22 24 24 24 25 24 24 24 25 21 17 20 20
13,Flash,Ficcao Cientifica,13,Netflix,42,9,23 23 23 23 22 19 18
14,The Good Place,Comedia,16,Netflix,90,4,13 13 13 14
15,Round 6,Acao,16,Netflix,60,1,9
16,The Boys,Humor acido,18,Prime Video,55,3,8 8 8
17,She Hulk,Comedia,14,Disney Plus,35,1,9
18,Velma,Comedia,16,HBO Max,26,1,10
19,Dark,Drama,16,Netflix,52,3,10 8 8
20,Breaking Bad,Drama,16,Netflix,55,5,7 13 13 13 16
21,Desventuras em Serie,Humor acido,12,Netflix,50,3,8 10 7
22,Insatiable,Comedia,16,Netflix,45,2,12 10
23,Dexter,Drama,0,Paramount,43,8,12 12 12 12 12 12 12 12
24,Ben 10,Acao,0,HBO Max,22,4,13 13 13 13
25,Wandinha,Fantasia,16,Netflix,50,1,8
26,Game of Thrones,Fantasia,18,HBO Max,60,8,10 10 10 10 10 10 10 10
27,Cidade invisivel,Drama,14,Netflix,40,1,7
28,Brookly nine-nine,Comedia,14,Netiflix,20,8,22 23 23 22 22 18 13 10
29,Kick Buttowiski,Comedia,0,Disney Plus,23,2,20 26
30,Gambito da Rainha,Ficcao ,16,Netflix,55,1,7
31,Primal,Terror/Drama,14,Netflix,20,2,10 10
32,Peppa Pig,Crianca,0,Netflix,20,6,13 13 6 7 7 7
33,Um maluco no pedaco,comedia,0,HBO Max,22,6,25 24 24 26 25 24
34,The Walking Dead,Terror,18,Netflix,45,10,6 13 16 16 16 16 16 16 16 22
35,Mundo Misterio,Documentario,0,Netflix,26,1,8
36,Cobra Kai ,Acao ,14,Netflix,30,5,10 10 10 10 10 
37,Missa da meia-noite,Terror,14,Netflix,64,1,7
38,Andor,Acao,14,Disney Plus,50,1,12
39,Drive to Survive: Dirigir para viver (F1),Documentario,12,Netflix,50,5,10 10 10 10 10
40,Alice In Borderland,Ficcao Cientifica,16,Netflix,50,2,8
41,Legend of Vox Machina,Fantasia,16,Netflix,30,2,12 / 12
42,Arremesso Final,Documentario,12,Netflix,51,1,10
43,Love  Death & Robots,Ficcao Cientifica,18,Netflix,21,3,18 8 9
44,True Detective,Drama,16,HBO max,55,3,8 8 8
45,You,Drama,18,Netflix,50,4,10 10 10 10
46,Heartstopper,Drama,12,Netflix,30,1,8
47,Fundacao,Ficcao Cientifica,16,Apple Tv,60,1,10
49,La casa de papel,Drama,16,Netflix,47,5,13 9 8 8 10
